Name,code
MATH 295Y: Arithmetic Dynamics,MATH 295Y
NEURO 120: Introductory Computational Neuroscience,NEURO 120
PHIL 4: Logic I,PHIL 4
PSY 2301: Theories of Learning,PSY 2301
PHIL 150: Philosophy of Probability,PHIL 150
QSE 210B: Introduction to Quantum Information Science II,QSE 210B
E-PSCI 101/ESE 101: Global Warming Science 101,E-PSCI 101/ESE 101
FRSEMR 23I: GeoSciFi Movies: Real vs. Fiction,FRSEMR 23I
APMTH 10: Computing for Science and Engineering,APMTH 10
NEUROBIO 212: Mathematical Tools for Neuroscience,NEUROBIO 212
FRSEMR 50F: Artificial and Natural Intelligence,FRSEMR 50F
CELTIC 111: Shapeshifters and Manbeasts in Celtic Traditions,CELTIC 111
COMPSCI 20: Discrete Mathematics for Computer Science,COMPSCI 20
WELSH 225A: Medieval Welsh Language and Literature,WELSH 225A
GOV 2005: Formal Political Theory I,GOV 2005
PHYSICS 19: Introduction to Theoretical Physics,PHYSICS 19
ECON 1010A: Intermediate Microeconomics,ECON 1010A
APMTH 10: Computing with Python for Scientists and Engineers,APMTH 10
APMTH 206: Advanced Applied Algebra,APMTH 206
APMTH 106: Applied Algebra,APMTH 106
RUSS 110: Fourth-Year Russian: Russian for STEM,RUSS 110
API 302/ECON 1415: Analytic Frameworks for Policy,API 302/ECON 1415
PHYSICS 20: Introduction to Computational Physics,PHYSICS 20
ENG-SCI 151: Applied Electromagnetism,ENG-SCI 151
APMTH 50: Introduction to Applied Mathematics,APMTH 50
NEURO 141/PHYSICS 141: The Physics of Sensory Systems in Biology,NEURO 141/PHYSICS 141
FYSEMR 52P: Mathematical Proofs from “the Book”,FYSEMR 52P
FRSEMR 52E/FYSEMR 52E: Science and Technology Primer for Future Leaders,FRSEMR 52E/FYSEMR 52E
NEUROBIO 314QC: Mathematical Tools for Neuroscience,NEUROBIO 314QC
APMTH 105: Ordinary and Partial Differential Equations,APMTH 105
APMTH 210: Algebraic Fundamentals of Representing Data,APMTH 210
ECON 1011A: Intermediate Microeconomics: Advanced,ECON 1011A
PHYSICS 15A: Introductory Mechanics and Relativity,PHYSICS 15A
APMTH 225: Advanced Scientific Computing: Numerical Methods for Partial Differential Equations,APMTH 225
FRSEMR 51O: Euclid’s Elements: The Classical Legacy That Just Keeps Getting Better,FRSEMR 51O
ENG-SCI 125: Mechanical Systems,ENG-SCI 125
FRSEMR 52D/FYSEMR 52D: Quantum Entanglement and the Second Quantum Revolution,FRSEMR 52D/FYSEMR 52D
ENG-SCI 150: Probability with Engineering Applications,ENG-SCI 150
EDST 121/EDU AH103: Educational Outcomes in Cross-National and Cross-Cultural Perspectives,EDST 121/EDU AH103
COMPSCI 134: Networks,COMPSCI 134
FRSEMR 39N: The Call of Beauty,FRSEMR 39N
"APPHY 50A: Physics as a Foundation for Science and Engineering, Part I",APPHY 50A
PHYSICS 15C: Wave Phenomena,PHYSICS 15C
APMTH 120: Applied Linear Algebra and Big Data,APMTH 120
COMPSCI 183: Foundations of Machine Learning,COMPSCI 183
GOV 1000: Quantitative Methods for Political Science I,GOV 1000
GOV 2000/GOV 2000E: Introduction to Quantitative Methods I,GOV 2000/GOV 2000E
ECON 1640: Industrial Organization: Theory and Applications,ECON 1640
APMTH 108: Nonlinear Dynamical Systems,APMTH 108
ENG-SCI 155: Systems and Control,ENG-SCI 155
ARTS 27R: How to be a Tool: Storytelling Across Disciplines,ARTS 27R
"APPHY 50B: Physics as a Foundation for Science and Engineering, Part II",APPHY 50B
APMTH 21A: Mathematical Methods in the Sciences,APMTH 21A
APMTH 221: Advanced Optimization,APMTH 221
"HISTSCI 206R: Science, Mathematics, and Explanation: What Does it Mean to Explain Something?",HISTSCI 206R
ECON 1642: Advanced Industrial Organization,ECON 1642
PHIL 151Z: Philosophy of Quantum Mechanics: Proseminar,PHIL 151Z
GOV 3002/GOV 3002A: Teaching and Communicating Political Science,GOV 3002/GOV 3002A
ASTRON 17: Galactic and Extragalactic Astronomy,ASTRON 17
ECON 1057: Game Theory with Applications to Social Behavior,ECON 1057
APMTH 101: Statistical Inference for Scientists and Engineers,APMTH 101
E-PSCI 160/ESE 160: Space Science and Engineering: Theory and Applications,E-PSCI 160/ESE 160
APMTH 121/ENG-SCI 121: Introduction to Optimization: Models and Methods,APMTH 121/ENG-SCI 121
STAT 111: Introduction to Statistical Inference,STAT 111
APMTH 111/ENG-SCI 111: Introduction to Scientific Computing,APMTH 111/ENG-SCI 111
PHYSICS 125: Physics for Future Presidential Advisors,PHYSICS 125
E-PSCI 160/ENG-SCI 160: Space Science and Engineering: Theory and Application,E-PSCI 160/ENG-SCI 160
ECON 1017: A Libertarian Perspective on Economic and Social Policy,ECON 1017
PHYSICS 95: Topics in Current Research,PHYSICS 95
GOV 1004: Political Economy,GOV 1004
NEURO 101HA/NEURO 101HB: Visual Circuits: How Neurons and Networks See,NEURO 101HA/NEURO 101HB
"CHEM 166: Quantum Materials, Where Physics and Chemistry Meet",CHEM 166
COMPSCI 365/ENG-SCI 301: SEAS Teaching Practicum,COMPSCI 365/ENG-SCI 301
ECON 1011B: Intermediate Macroeconomics: Advanced,ECON 1011B
APMTH 22B: Integrating and Approximating,APMTH 22B
ENG-SCI 156: Signals and Systems,ENG-SCI 156
STAT 211: Statistical Inference I,STAT 211
PHYSICS 125: Widely Applied Physics,PHYSICS 125
"COMPSCI 282R: Machine Learning: Advances in Uncertainty Quantification, Structured Prediction, Large-Scale Methods",COMPSCI 282R
EDU S043/STAT 151: Multilevel and Longitudinal Models,EDU S043/STAT 151
ECON 2390D/ECON 2390DHFA: Research in Economic Development,ECON 2390D/ECON 2390DHFA
ESE 136: Climate and Climate Engineeering,ESE 136
ENG-SCI 257: Semidefinite Optimization and Relaxation,ENG-SCI 257
STAT 220: Bayesian Data Analysis,STAT 220
APMTH 231/ENG-SCI 201: Decision Theory,APMTH 231/ENG-SCI 201
APMTH 115/ENG-SCI 115: Mathematical Modeling,APMTH 115/ENG-SCI 115
APMTH 215: Mathematical Modeling for Computational Science,APMTH 215
ECON 1936: Keynes,ECON 1936
STAT 216: Topics in High-Dimensional Probability Theory,STAT 216
SOCIOL 1141/SOCIOL 141: Contemporary Chinese Society,SOCIOL 1141/SOCIOL 141
E-PSCI 129/ESE 129: Climate and Atmospheric Physics Laboratory,E-PSCI 129/ESE 129
ECON 1010B: Intermediate Macroeconomics,ECON 1010B
"ENG-SCI 152: Circuits, Devices, and Transduction",ENG-SCI 152
STAT 171: Introduction to Stochastic Processes,STAT 171
PHIL 97: Tutorial I,PHIL 97
GOV 1015: Strategic Models of Politics,GOV 1015
"PSY 1654: What Infants Know, How Children Learn",PSY 1654
GENED 1173: Numbers in Policy & Society,GENED 1173
COMPSCI 191: Classics of Computer Science,COMPSCI 191
PHYSICS 153: Electrodynamics,PHYSICS 153
ENG-SCI 155/ENG-SCI 157: Biological Signal Processing,ENG-SCI 155/ENG-SCI 157
API 111/ECON 2020A: Microeconomic Theory I,API 111/ECON 2020A
ECON 1644: Market Power in the New Economy,ECON 1644
ASTRON 140: Introduction to General Relativity,ASTRON 140
CHEM 161: Statistical Thermodynamics,CHEM 161
ECON 2057: Stochastic Choice,ECON 2057
E-PSCI 100: The Missing Matlab Course: A Practical Introduction to Programming and Data Analysis,E-PSCI 100
ESPP 90N: Addressing the Global Climate Crisis: Challenges for Both Developed and Developing Economies,ESPP 90N
STAT 131: Time Series & Prediction,STAT 131
STAT 212: Probability 2,STAT 212
LING 116: Semantic Theory I,LING 116
E-PSCI 131/ENG-SCI 131/ESE 131: Introduction to Physical Oceanography and Climate,E-PSCI 131/ENG-SCI 131/ESE 131
COMPSCI 289: Biologically-inspired Multi-agent Systems,COMPSCI 289
FRSEMR 51E: The Story of the Alternating Sign Matrix Conjecture,FRSEMR 51E
STAT 217: Topics in high-dimensional statistics: methods from statistical physics,STAT 217
PHYSICS 260B: Introduction to quantum information II,PHYSICS 260B
E-PSCI 234: Topics in Generalized Stability Theory,E-PSCI 234
STAT 303HFA: The Art of Communicating and Teaching Statistics,STAT 303HFA
ASTRON 205: Machine Learning for Astrophysicists,ASTRON 205
AFVS 330R/VES 330R: Teaching Workshop,AFVS 330R/VES 330R
ECON 2150: The Econometrics of Machine Learning (and other 'Big Data' Techniques),ECON 2150
ECON 1346: Closed Borders and Crowded Buses: The Economics of Human Mobility,ECON 1346
ENG-SCI 190: Introduction to Materials Science and Engineering,ENG-SCI 190
APMTH 215: Fundamentals of Biological Signal Processing,APMTH 215
PSY 2303: Computational Neuroscience in Practice,PSY 2303
STAT 212: Probability II,STAT 212
MCB 198: Advanced Mathematical Techniques for Modern Biology,MCB 198
COMPSCI 229CR: Topics in Theoretical Computer Science: Spectral Graph Theory in CS,COMPSCI 229CR
HDS 3750/RELIGION 1615: The Bhagavad Gita and Its Commentators,HDS 3750/RELIGION 1615
HISTSCI 188V: Data and Democracy,HISTSCI 188V
HIST-LIT 90EE: Fighting the Climate Crisis,HIST-LIT 90EE
COMPSCI 152: Programming Languages,COMPSCI 152
"PHYSICS 264: Lie Algebras, Representations and Quantum Mechanics",PHYSICS 264
E-PSCI 220: A Survey of Planetary Sciences,E-PSCI 220
ECON 980BB: Behavioral Economics,ECON 980BB
APMTH 203: Introduction to Disordered Systems and Stochastic Processes,APMTH 203
HISTSCI 188V: Technology and Democracy,HISTSCI 188V
BE 128: Introduction to Biomedical Imaging and Systems,BE 128
PSY 980RB: How to Reason Better,PSY 980RB
E-PSCI 132/ESE 132: Introduction to Meteorology and Climate,E-PSCI 132/ESE 132
GENED 1076: Equity and Excellence in K12 American Schools,GENED 1076
ENG-SCI 239: Advanced Innovation in Science and Engineering: Conference Course,ENG-SCI 239
ENG-SCI 139: Innovation in Science and Engineering: Conference Course,ENG-SCI 139
PHYSCI 50: Computing for Science Studio,PHYSCI 50
ENG-SCI 156: Signals and Communications,ENG-SCI 156
PHYSICS 15B: Introductory Electromagnetism and Statistical Physics,PHYSICS 15B
MBB 980M: Functional Neuroimaging of Psychiatric Disorders: Insights into the Human Brain-Mind,MBB 980M
GENED 1031/SCIPHUNV 26: Finding Our Way,GENED 1031/SCIPHUNV 26
E-PSCI 122/ESE 122: Designing Satellite Missions: Research Methods through the Lens of Earth Observing Systems,E-PSCI 122/ESE 122
"FRSEMR 51T: The Universe: Its Origin, Evolution, and Major Puzzles",FRSEMR 51T
NEURO 140/NEUROBIO 240: Biological and Artificial Intelligence,NEURO 140/NEUROBIO 240
"FRSEMR 50Z: CRISPR, Genome Editing, and the Future of Medicine",FRSEMR 50Z
E-PSCI 102/ESE 102: Data Analysis and Statistical Inference in the Earth and Environmental Sciences,E-PSCI 102/ESE 102
E-PSCI 161/ENG-SCI 161/ESE 161: Applied Environmental Toxicology,E-PSCI 161/ENG-SCI 161/ESE 161
"STAT 221: Computational Tools for Statistical Learning: Approximation, Optimization, and Monte Carlo",STAT 221
PSY 2170: Developmental Proseminar,PSY 2170
GOV 94AS: The Politics of Virtual Realities,GOV 94AS
LIFESCI 50A: Integrated Science,LIFESCI 50A
PHIL 193: Indian Philosophy,PHIL 193
STAT 303HFB: The Art and Practice of Teaching Statistics,STAT 303HFB
"CHEM 177: The Chemistry, Biology, and Societal Implications of Genome Editing",CHEM 177
STAT 139: Linear Models,STAT 139
GENED 1167: Climate Crossroads,GENED 1167
COMPSCI 283: Computer Vision,COMPSCI 283
ENG-SCI 29/SCI 6338: Introduction to Computational Design,ENG-SCI 29/SCI 6338
"APMTH 104: Complex and Fourier Analysis with Applications to Art, Science and Engineering",APMTH 104
PSY 1201: Your Brain on Drugs: Psychopharmacology,PSY 1201
STAT 185: Introduction to Dimension Reduction,STAT 185
BE 191: Introduction to Biomaterials,BE 191
GENED 1029/SCIPHUNV 20: What is Life? From Quarks to Consciousness,GENED 1029/SCIPHUNV 20
PHYSICS 267: Higher Representations in Physics and Mathematics,PHYSICS 267
ASTRON 2: Celestial Navigation,ASTRON 2
"PSY 1611: Develop. Disabilities: Neurobio., Treatment, Implications for Health & Education Policy",PSY 1611
COMPSCI 181: Machine Learning,COMPSCI 181
GOV 1005/GOV 50: Data,GOV 1005/GOV 50
MCB 111: Mathematics in Biology,MCB 111
STAT 109: Intro to Statistical Modelling,STAT 109
APMTH 122: Convex Optimization and Its Applications,APMTH 122
NEURO 130/NEUROBIO 230: Visual Recognition: Computational and biophysical perspective,NEURO 130/NEUROBIO 230
STAT 139: Statistical Sleuthing Through Linear Models,STAT 139
LING 106: Knowledge of Meaning,LING 106
STAT 139: Introduction to Linear Models,STAT 139
ECON 2035: Psychology and Economic Theory,ECON 2035
GENED 1037: Experiments that Changed Our World,GENED 1037
ECON 970: Tutorial - Sophomore Year,ECON 970
GENED 1037: Great Experiments that Changed Our World,GENED 1037
HISTSCI 282: Genre and Knowledge,HISTSCI 282
EDST 137/SOC-STD 68UE: Leading Change in City Schools: Urban Education Reform in Action,EDST 137/SOC-STD 68UE
STAT 111: Introduction to Theoretical Statistics,STAT 111
PSY 1052: The Application of fMRI in Cognitive Neuroscience Research,PSY 1052
"PHYSCI 3: Electromagnetism, Circuits, Waves, Optics, and Imaging",PHYSCI 3
STAT 317: Computational Optimal Transport,STAT 317
CELTIC 137: Celtic Mythology,CELTIC 137
TDM 109: Beginning Acting Through Scene Study and Monologue Work,TDM 109
ASTRON 16: Stellar and Planetary Astronomy,ASTRON 16
GENED 1080: How Music Works: Engineering the Acoustical World,GENED 1080
STAT 185: Introduction to Unsupervised Learning,STAT 185
PHYSICS 16: Mechanics and Special Relativity,PHYSICS 16
TDM 130R: Directing,TDM 130R
GENED 1137: The Challenge of Human Induced Climate Change: Transitioning to a Post Fossil Fuel Future,GENED 1137
E-PSCI 6/ENG-SCI 6/ESE 6: Introduction to Environmental Science and Engineering,E-PSCI 6/ENG-SCI 6/ESE 6
STAT 131: Introduction to Time Series & Prediction,STAT 131
FRSEMR 61Q: Language: The Origins of Meaning,FRSEMR 61Q
PHYSICS 143A: Quantum Mechanics I,PHYSICS 143A
FRSEMR 42H: The U.S. Energy Revolution and its Implications,FRSEMR 42H
PHYSICS 101: Foundations of Theoretical Physics,PHYSICS 101
"ECON 1000A/ECON 1000B: Growth, Technology, Inequality, and Education",ECON 1000A/ECON 1000B
ASTRON 130: Cosmology,ASTRON 130
CELTIC 111: Shapeshifting and Identity in Celtic Traditions,CELTIC 111
PSY 1652R: Laboratory in Early Cognitive Development,PSY 1652R
SWAHILI AA: Elementary Swahili,SWAHILI AA
ENG-SCI 228: Biologically-Inspired Materials,ENG-SCI 228
ENGLISH 182: Science Fiction,ENGLISH 182
SCIPHUNV 22: The Unity of Science: From the Big Bang to the Brontosaurus and Beyond,SCIPHUNV 22
ASTRON 22: The Unity of Science: From the Big Bang to the Brontosaurus and Beyond,ASTRON 22
"ECON 1000/ENGLISH 195EC: Growth, Technology, Inequality, and Education",ECON 1000/ENGLISH 195EC
GOV 1006/GOV 52: Models,GOV 1006/GOV 52
MCB 112: Biological Data Analysis,MCB 112
SCRB 152: Asking Cells Who They Are: Computational Transcriptomics Using RNA-Seq,SCRB 152
MBB 980V: Neuroimaging and Big Data in Connectomics: Advances in Understanding the Wiring of the Brain,MBB 980V
NEURO 1401/PSY 1401: Computational Cognitive Neuroscience: Building Models of the Brain,NEURO 1401/PSY 1401
CELTIC 138: The Mabinogion: Stories from Medieval Wales,CELTIC 138
GOV 94DB: Meritocracy and Its Critics,GOV 94DB
LIFESCI 50B: Integrated Science,LIFESCI 50B
ENG-SCI 163/ESE 163: Pollution Control in Aquatic Ecosystems,ENG-SCI 163/ESE 163
"PHYSCI 12B/PHYSICS 12B: Electromagnetism and Statistical Physics from an Analytic, Numerical and Experimental Perspective",PHYSCI 12B/PHYSICS 12B
ECON 990B: Tutorial - Senior Year,ECON 990B
PSY 1654: Topics in Cognitive Development: Seminar,PSY 1654
STAT 141: Introduction to Spatial Statistics,STAT 141
"HDS 3070/RELIGION 64: Krishna and Christ: Text, Practice, Person, Experience",HDS 3070/RELIGION 64
APMTH 233/ENG-SCI 203: Interplay between Control and Learning,APMTH 233/ENG-SCI 203
HDS 3751/RELIGION 1059: Who Needs God? Rethinking God in Light of Hindu and Christian Theologies,HDS 3751/RELIGION 1059
MBB 980V: Connectomics: The Functional and Structural Wiring of the Human Brain,MBB 980V
STAT 141: Spatial Statistics,STAT 141
MUSIC 220R: History of Music Theory,MUSIC 220R
ESPP 78: Environmental Politics,ESPP 78
GOV 20: Foundations of Comparative Politics,GOV 20
GOV 40: International Conflict and Cooperation,GOV 40
MBB 980V: The Functional and Structural Human Brain Connectome,MBB 980V
EASTD 198: Political Parties of East Asia,EASTD 198
SOC-STD 40: Philosophy and Methods of the Social Sciences,SOC-STD 40
HISTSCI 284: Algorithms,HISTSCI 284
ECON 1745: Corporate Finance,ECON 1745
"SOCIOL 233: Networks, Stratification, and Emergent Social Structure",SOCIOL 233
HISTSCI 185: Communicating Science: From Print Culture to Cybersocieties,HISTSCI 185
STAT 107: Introduction to Business and Financial Statistics,STAT 107
FYSEMR 73T: Defense Against the Dark Arts (Cybersecurity Edition),FYSEMR 73T
ENG-SCI 26: Humanity and its Challenges: Systems Thinking and Approaches,ENG-SCI 26
ENGLISH 90BD: Boredom,ENGLISH 90BD
"PHYSCI 12B: Electromagnetism and Quantum Physics from an Analytic, Numerical and Experimental Perspective",PHYSCI 12B
ECON 2059: Decision Theory,ECON 2059
COMPSCI 283/COMPSCI 2831: Advanced Computer Vision,COMPSCI 283/COMPSCI 2831
"SOCIOL 124: Stratification, Social Structure, and Networks",SOCIOL 124
GENED 1125: Artificial & Natural Intelligence,GENED 1125
COMPSCI 90NBR/DPI 687: The Ethics and Governance of Artificial Intelligence,COMPSCI 90NBR/DPI 687
LING 98A: Group Tutorial - Junior Year,LING 98A
APCOMP 209A/COMPSCI 1090A/COMPSCI 109A/STAT 109A/STAT 121A: Data Science 1: Introduction to Data Science,APCOMP 209A/COMPSCI 1090A/COMPSCI 109A/STAT 109A/STAT 121A
ENG-SCI 250: Information Theory,ENG-SCI 250
MCB 65: Physical Biochemistry: Understanding Macromolecular Machines,MCB 65
OEB 212R: Advanced Topics in Plant Physiology,OEB 212R
ASTRON 5: Astrosociology,ASTRON 5
ENG-SCI 53: Quantitative Physiology as a Basis for Bioengineering,ENG-SCI 53
GENED 1071: African Spirituality and the Challenges of Modern Times,GENED 1071
FRSEMR 51X/FYSEMR 51X: Changing Perspectives: the Science of Optics in the Visual Arts,FRSEMR 51X/FYSEMR 51X
"CELTIC 139: Small Nation, Big Ideas: Wales 1900—2023",CELTIC 139
COMPSCI 37/ECON 1071: Incentives in the Wild: from Tanking in Sports to Mining Cryptocurrencies,COMPSCI 37/ECON 1071
STAT 100: Introduction to Quantitative Methods for the Social Sciences and Humanities,STAT 100
ECON 1410/SUP 125: Public Economics: Designing Government Policy,ECON 1410/SUP 125
GOV 94KL: Advanced Topics in Formal Political Economy,GOV 94KL
