Name,code
COMPSCI 181: Machine Learning,COMPSCI 181
MICROBI 360QC: The Human Microbiome: Comprehensive experimental design and methodologies,MICROBI 360QC
PSY 2030: Bayesian Data Analysis,PSY 2030
PSY 2035: Advanced Statistical Modeling,PSY 2035
API 205: Politics and Policies: What Is the Impact of Data and AI?,API 205
API 205: Politics and Policies: The Impact of Data and AI,API 205
APMTH 221: Advanced Optimization,APMTH 221
COMPSCI 236R: Topics at the Interface between Computer Science and Economics,COMPSCI 236R
APMTH 231/ENG-SCI 201: Decision Theory,APMTH 231/ENG-SCI 201
IGA 145M: Human Security: People-Centered Global Policy,IGA 145M
COMPSCI 134: Networks,COMPSCI 134
APCOMP 295: Topics in Applied Computation: Advanced Practical Data Science,APCOMP 295
EDU A810: International Education Finance,EDU A810
PSY 1901: Methods of Behavioral Research,PSY 1901
GOV 1288: China’s Economic Development,GOV 1288
SCRB 152: Asking Cells Who They Are: Computational Transcriptomics Using RNA-Seq,SCRB 152
LING 105: Sounds of Language,LING 105
BETH 713: Bioethics Advocacy,BETH 713
BIOSTAT 249/BST 249: Bayesian Methodology in Biostatistics,BIOSTAT 249/BST 249
COMPSCI 182: Artificial Intelligence,COMPSCI 182
SCIENCE 5: An Introduction to Computation for Contemporary Science,SCIENCE 5
APMTH 233/ENG-SCI 203: Interplay between Control and Learning,APMTH 233/ENG-SCI 203
EPI 526: Analysis of Publicly Available Databases for Epidemiologic and Health Services Research,EPI 526
SUP 578/SUP 578M: U.S. Healthcare Industry and Regulatory Policy,SUP 578/SUP 578M
COMPSCI 229CR: Topics in Theoretical Computer Science: Spectral Graph Theory in CS,COMPSCI 229CR
SOCIOL 90Z: Research Lab: Inequality,SOCIOL 90Z
EPI 219: Assessment Concepts and Methods in Psychiatric Epidemiology,EPI 219
SOCIOL 90EI: Research Lab: Ethnicity and Immigration,SOCIOL 90EI
"MBB 980R: Psychopaths and Psychopathy: Psychological, Neuroscientific, Legal, and Policy Issues",MBB 980R
"ETHRSON 45/GENED 1064/SCRB 187: Brains, Identity, and Moral Agency",ETHRSON 45/GENED 1064/SCRB 187
"GENED 1170: Confronting COVID-19: Science, History, Policy",GENED 1170
MLD 601: Operations Management,MLD 601
EDU A302: Equity in Action in School Systems,EDU A302
BST 206: Introductory Statistics for Medical Research,BST 206
DRPH 260: Effective Writing for Policy Leadership,DRPH 260
COMPSCI 283/COMPSCI 2831: Advanced Computer Vision,COMPSCI 283/COMPSCI 2831
BST 257: Theory and Methods for Causality II,BST 257
COMPSCI 226R: Topics in Theory for Society: The Theory of Algorithmic Fairness,COMPSCI 226R
BIOSTAT 258/BST 258: Causal Inference: Theory and Practice,BIOSTAT 258/BST 258
DPI 852M: Advanced Data and Information Visualization,DPI 852M
HEB 1398: Human Genetic Variation,HEB 1398
ENG-SCI 250: Information Theory,ENG-SCI 250
MLD 411M: Introduction to Budgeting and Financial Management,MLD 411M
GHP 506: Measuring Population Health,GHP 506
BST 256: Theory and Methods for Causality I,BST 256
COMPSCI 37/ECON 1071: Incentives in the Wild: from Tanking in Sports to Mining Cryptocurrencies,COMPSCI 37/ECON 1071
ECON 1343: The Economics of Development and Global Health,ECON 1343
"GHP 213: Global Cardiovascular Disease Prevention - Methods, Study Designs and Case Studies",GHP 213
DPI 820M: Policy Memo Writing for Decision Makers,DPI 820M
PSY 1617: Language Development in the First Few Years of Life,PSY 1617
"GOV 1093/SCRB 60: Ethics, Biotechnology, and the Future of Human Nature",GOV 1093/SCRB 60
EPI 528: Systematic Review and Meta-Analysis,EPI 528
EPI 235: Epi Methods in Health Services Research,EPI 235
DPI 821M: Writing Policy Reports,DPI 821M
PSY 960: Communicating Psychological Science: A Practical Guide,PSY 960
SOC-STD 68CT: The Chinese Immigrant Experience in America,SOC-STD 68CT
MATH 19A: Modeling and Differential Equations for the Life Sciences,MATH 19A
"IGA 516/SOCIOL 1180/SOCIOL 180: Law, Science, and Society in America",IGA 516/SOCIOL 1180/SOCIOL 180
GENED 1171: Justice: Ethics in an Age of Pandemic and Racial Reckoning,GENED 1171
API 119/API 120: Advanced Macroeconomics for the Open Economy II,API 119/API 120
EPI 945U: Applied Practice and Integrative Learning Experience for Epidemiology,EPI 945U
EPI 945AU: MPH EPI Practice & ILE,EPI 945AU
EPI 945S: Practicum & Culminating Experience for the MPH in Epidemiology,EPI 945S
EPI 945S: Applied Practice and Integrative Learning Experience for Epidemiology,EPI 945S
IGA 565/IGA 565M: Analytical Methods for Complex Adaptive Systems,IGA 565/IGA 565M
SBS 245: Social and Behavioral Research Methods,SBS 245
EDU S040: Introductory and Intermediate Statistics for Educational Research: Applied Linear Regression,EDU S040
ECON 1042: Sports Economics,ECON 1042
FRSEMR 24N: Child Health in America,FRSEMR 24N
ECON 2142: Time Series Analysis,ECON 2142
EPI 945F: Practicum & Culminating Experience for the MPH in Epidemiology,EPI 945F
ECON 1745: Corporate Finance,ECON 1745
SOCIOL 1156: Statistics for Social Sciences,SOCIOL 1156
API 209: Advanced Quantitative Methods I: Statistics,API 209
BETH 751: Health and Human Rights,BETH 751
HIST 12E: Migrant Geographies: Between Asia and the United States in the Twentieth Century,HIST 12E
EPI 247: Epidemiologic Methods Development - Past and Present,EPI 247
ECON 1818: Economics of Discontinuous Change,ECON 1818
API 119/API 120: Advanced Macroeconomics for the Open Economy I,API 119/API 120
DPI 831M: Op-Ed Writing,DPI 831M
EDU A318: New Pathways for College and Career Readiness: Increasing Opportunity and Equity Through Education,EDU A318
SBS 246: Maternal and Child Health: Programs and Policies,SBS 246
ECON 10A: Principles of Economics,ECON 10A
EDU S022: Introduction to Statistical Computing and Data Science in Education,EDU S022
GOV 94Q: US-Latin American Relations: Seminar,GOV 94Q
PSY 1019: Using Data for Justice,PSY 1019
GOV 1006/GOV 52: Models,GOV 1006/GOV 52
"HDS 3093/MLD 375: Creating Justice in Real Time: Vision, Strategies, and Campaigns",HDS 3093/MLD 375
HISTSCI 149/HISTSCI 1490: The History and Culture of Stigma,HISTSCI 149/HISTSCI 1490
MPH 100A/MPH 103: Leadership and Communication,MPH 100A/MPH 103
SBS 225: Engaging with the Press: A Practical Look at Effective Public Health Communications,SBS 225
EDU A810T: International Education Finance,EDU A810T
"HISTSCI 140: Public Health on the Border: Race, Politics, and Health in Modern Mexico",HISTSCI 140
GOV 94GK: The Politics and Ethics of Medical Care,GOV 94GK
MPH 100D/MPH 105: Public Health Policy and Politics,MPH 100D/MPH 105
ESPP 78: Environmental Politics,ESPP 78
"SES 5410: Implementation: Strategy, Management and Leadership: Lessons from the Field (at HKS)",SES 5410
"GOV 2034: Ethics, Economics, and Law",GOV 2034
COMPSCI 20: Discrete Mathematics for Computer Science,COMPSCI 20
"MLD 112: Implementation: Strategy, Management and Leadership: Lessons from the Field",MLD 112
LPCE 102: StudioLab on Creativity and Entrepreneurship,LPCE 102
HPM 503: Understanding Public Health Leadership: From Frameworks to Practice,HPM 503
IGA 411: The Energy-Climate Challenge,IGA 411
HCM 731.1/HCM 731.2: Competitive Strategy Determination,HCM 731.1/HCM 731.2
GHP 213: Global Cardiovascular Disease Prevention - what do we know and how do we know it,GHP 213
HEB 1700: Human Evolutionary Biology in Society,HEB 1700
EPI 224: Cancer Prevention,EPI 224
FRSEMR 25N/FYSEMR 25N: Finding Connections: Perspectives on Psychological Development and Mental Illness,FRSEMR 25N/FYSEMR 25N
"ADV 9132: Ecology, Infrastructure, Power",ADV 9132
ECON 1152/ECON 50/EDU A218/SUP 135: Using Big Data to Solve Economic and Social Problems,ECON 1152/ECON 50/EDU A218/SUP 135
PSY 1900: Introduction to Statistics for the Behavioral Sciences,PSY 1900
TDM 180B: Art for the not yet and the yet to be,TDM 180B
"GENED 1089/HISTSCI 140: The Border: Race, Politics, and Health in Modern Mexico",GENED 1089/HISTSCI 140
NUT 232: Designing and Evaluating Behavioral Interventions Targeting Diet and Physical Activity,NUT 232
BGP 625/GENED 1120: The Political Economy of Globalization,BGP 625/GENED 1120
GHP 555: Management Practices in Health Care Delivery,GHP 555
HCM 712: Transitioning to Physician Leadership,HCM 712
EPI 208: Introduction to Clinical Epidemiology,EPI 208
GHP 244: Health Sector Reform: A Worldwide Perspective,GHP 244
DPI 600/DPI 600M: The Politics of the Press,DPI 600/DPI 600M
EDU S800: Ph.D. in Education Proseminar,EDU S800
EH 241: Occupational Safety and Injury Prevention,EH 241
"BGP 625: Globalization: Past, Present and Future Challenges",BGP 625
SUP 150Y: Seminar: Social and Urban Policy (fall),SUP 150Y
"ANTHRO 2859: Colonial Encounters, Postcolonial Disorders",ANTHRO 2859
GHP 557: Fundamentals of Global Health,GHP 557
HPM 246A: Seminar in Health Policy I,HPM 246A
MLD 621: Innovation Field Lab: Public Problem Solving in Massachusetts Cities,MLD 621
HLTHPOL 2000A/HLTHPOL 2000B: Core Course in Health Policy,HLTHPOL 2000A/HLTHPOL 2000B
SUP 957: Core Course in Health Policy I,SUP 957
HPM 210: United States Health Policy,HPM 210
"IGA 615: Protecting a Homeland: Managing the Flow of People, Goods, and Ideas",IGA 615
DEV 210/PED 210: Public Finance in Theory and Practice,DEV 210/PED 210
GOV 1005/GOV 50: Data,GOV 1005/GOV 50
"IGA 451M: Controversies in Climate, Energy, and the Media: Improving Public Communication",IGA 451M
HPM 235: Managing Health Care Costs,HPM 235
IGA 412/IGA 412M: The Geopolitics of Energy,IGA 412/IGA 412M
GHP 272: Foundations of Global Health and Population,GHP 272
